
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  INNINGS 1  |  Batting: India           |  Sched: Priority
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Over  0.1 | T. Boult     | R. Pant      | Bouncer      @ 145km/h | 1 runs
Over  0.2 | T. Boult     | V. Kohli     | Full         @ 146km/h | 2 runs
Over  0.3 | T. Boult     | V. Kohli     | Full         @ 152km/h | 2 runs
Over  0.4 | T. Boult     | V. Kohli     | Good Length  @ 112km/h | 1 runs  (DROPPED by Fielder 6)
Over  0.5 | T. Boult     | R. Pant      | Bouncer      @ 157km/h | 2 runs
Over  1.0 | T. Boult     | R. Pant      | Bouncer      @ 159km/h | 4 runs
Over  1.1 | K. Jamieson  | V. Kohli     | Full         @ 101km/h | 0 runs  (DROPPED by Fielder 0)
Over  1.2 | K. Jamieson  | V. Kohli     | Good Length  @ 151km/h | 6 runs
Over  1.3 | K. Jamieson  | V. Kohli     | Good Length  @ 139km/h | 0 runs
Over  1.4 | K. Jamieson  | V. Kohli     | Good Length  @ 153km/h | 1 runs
Over  1.5 | K. Jamieson  | R. Pant      | Slower Ball  @ 156km/h | OUT! Caught by Fielder 10
Over  2.0 | K. Jamieson  | R. Sharma    | Good Length  @ 117km/h | 2 runs
Over  2.1 | M. Henry     | V. Kohli     | Slower Ball  @ 139km/h | 0 runs
Over  2.2 | M. Henry     | V. Kohli     | Yorker       @ 150km/h | 1 runs
Over  2.3 | M. Henry     | R. Sharma    | Good Length  @ 136km/h | 0 runs
Over  2.4 | M. Henry     | R. Sharma    | Full         @ 108km/h | 0 runs
Over  2.5 | M. Henry     | R. Sharma    | Bouncer      @ 115km/h | OUT! Caught by Fielder 7
Over  3.0 | M. Henry     | S. Gill      | Slower Ball  @ 143km/h | 2 runs
Over  3.1 | T. Boult     | V. Kohli     | Yorker       @ 128km/h | 2 runs
Over  3.2 | T. Boult     | V. Kohli     | Bouncer      @ 158km/h | 2 runs
Over  3.3 | T. Boult     | V. Kohli     | Good Length  @ 119km/h | 0 runs
Over  3.4 | T. Boult     | V. Kohli     | Slower Ball  @ 147km/h | 1 runs
Over  3.5 | T. Boult     | S. Gill      | Bouncer      @ 152km/h | 2 runs
Over  4.0 | T. Boult     | S. Gill      | Good Length  @ 107km/h | 6 runs
Over  4.1 | K. Jamieson  | V. Kohli     | Bouncer      @ 117km/h | 0 runs
Over  4.2 | K. Jamieson  | V. Kohli     | Bouncer      @ 145km/h | OUT! Bowled/LBW
